uchem_id	retentionTime
3858	13.1
3420	10.7
3565	12.7
1034	14.1
3004	8.43
638	15.4
2658	13.7
213	17.01
4335	8.1
340	17
296	16
341	6
2657	12.2
248	12
245	15.8
247	13.1
299	14.5
249	12.3
3206	18.8
10959	11.73
10737	8.04
2830	9.7
10528	19.4
120	18.74
202	17.76
3289	20.9
2815	15.85
4211	8.5
4212	9.4
129	16.6
3008	11.1
10721	18.3
3588	16.88
3683	17.5
2784	16.8
3234	9.28
10790	9.1
3281	11.5
3613	11.6
232	11.6
10530	11.4
3277	14.8
10788	6.27
3280	3.4
3024	12.9
3140	20
10462	18.5
1053	12
229	23.5
229	23.5
3697	8.65
4229	13.96
3323	15
3698	14.03
69	21.2
3099	19.9
659	12.5
658	13.78
3207	18
3551	20.7
3100	16
3490	16.3
2743	18.2
2858	16.4
3128	13.5
3025	16.3
3754	9.5
3174	21
3772	8
3772	8
3705	19.3
644	14.65
243	9.12
3107	21
3064	21.4
3883	20.1
4102	17.2
4103	20.3
3026	14.35
700	20.2
338	13.3
3254	11.5
3005	10.9
94	18.6
3339	6.8
10454	9
3319	15.62
2991	18.9
3816	18.74
4178	18.2
704	21.2
3286	13.03
3881	18.4
2990	22.7
10556	14.56
2711	14
3533	20.8
3273	15.2
3272	19.2
2783	18
3243	17.2
3129	10.4
3141	11.7
3009	14.4
195	13.19
10728	10
3930	15.11
3931	21.17
96	20.2
3255	21.1
132	15.7
133	16.72
708	17.03
2945	9
122	22
142	12.7
212	20.8
3499	17.8
3344	15.7
171	13.42
10463	19.1
10463	17.5
3175	19.8
3491	24.3
10642	19.3
71	11.5
3492	19.2
3176	20.4
3813	21.3
10683	8.7
2947	8.7
4168	7.5
4169	10.8
2779	21.1
3552	19.7
3208	12.9
3534	18.4
3006	13.8
10748	15
2712	18
2706	11.9
3493	16.5
10952	13.69
3500	16.5
3535	22.6
4345	16
2738	9
2737	3.9
196	7.51
10699	19.72
10447	20.6
3349	18.8
2682	15.84
3241	15.4
3149	14.6
130	17.6
3353	13.4
701	12.3
2580	21
3769	15.46
2844	11.12
2802	16.77
192	17.1
3143	12.71
10552	15.62
10550	15
668	10.1
262	16.94
667	11.85
3144	20.83
11012	20.15
2903	11.67
170	7.14
3815	23.4
2902	17.83
3494	20
4205	7
2789	17
10533	20.7
3130	15
703	13
703	13
290	16.7
179	8.9
183	15
181	10.83
298	11.7
3859	11.8
234	9.46
11013	17.36
185	9.16
3495	19.3
10747	9.8
10449	20
3027	8.5
327	20.66
2952	20.4
3537	21.6
255	19.01
2931	9.6
2805	17.1
3177	18.57
3105	6.07
3178	17.36
3586	15.6
346	15.7
4176	8
4175	14
4177	8.3
4187	12.7
306	16.72
347	12.7
672	9.6
671	17.3
284	18.21
10600	15.6
4141	18.3
3164	13.2
3330	9.62
10508	21.8
3180	11.7
2955	13.3
2954	15.1
3974	12.94
3975	14.53
2941	12.2
3496	16.4
3028	9.1
3029	11.67
3329	5.3
3210	12.3
3540	21.1
3131	22
4227	15.5
3145	14.34
3553	22.4
3310	12.5
2567	11.21
10547	12.46
3828	22
3554	16.3
10535	17.9
3497	17.4
3498	18.1
3211	21.8
2988	22
2946	19.7
3154	15.9
3804	20.93
3181	21.11
3542	21.3
3182	19.4
10490	9
199	10.5
2911	20.85
2861	15.18
151	17.33
150	16.4
3587	20.6
3557	19.9
2740	19.8
3030	13.7
187	15.9
11003	7.09
2583	17.91
2795	16.09
645	13.03
3396	14.7
1053	12
674	15.1
3146	7.46
3840	3.9
10701	14.2
10584	11.5
3031	15.3
10536	16.5
2801	12.4
3132	13.2
